,Palavras,Rotulo,Sentenca
103,2015,B-TEMPO,15
105,uma,O,15
106,frondosa,O,15
107,jaqueira,O,15
108,secular,O,15
109,tombou,O,15
110,durante,O,15
111,um,O,15
112,temporal,O,15
114,foi,O,15
115,quando,O,15
116,nosso,O,15
117,patriarca,O,15
118,teve,O,15
119,essa,O,15
120,grande,O,15
121,ideia,O,15
123,Recolheu,O,16
124,o,O,16
125,tronco,O,16
126,caído,O,16
127,e,O,16
128,levou,O,16
129,para,O,16
130,que,O,16
131,nosso,O,16
132,tanoeiro,O,16
133,fizesse,O,16
134,barris,O,16
135,com,O,16
136,a,O,16
137,madeira,O,16
139,De,O,17
140,volta,O,17
141,à,O,17
142,fazenda,B-NOME_LOCAL,17
143,Tupã,I-NOME_LOCAL,17
144,eles,O,17
145,foram,O,17
146,enchidos,O,17
147,de,O,17
148,cachaça,O,17
149,Princesa,B-NOME_BEBIDA,17
150,Isabel,I-NOME_BEBIDA,17
151,e,O,17
152,o,O,17
153,resultado,O,17
154,foi,O,17
155,essa,O,17
156,surpreendente,O,17
157,e,O,17
158,singular,O,17
159,bebida,O,17
161,Uma,O,18
162,bela,O,18
163,cachaça,O,18
165,com,O,18
166,coloração,O,18
167,amarelho,B-CARACTERISTICA_SENSORIAL_COR,18
168,esverdeado,I-CARACTERISTICA_SENSORIAL_COR,18
170,límpida,B-CARACTERISTICA_SENSORIAL_COR,18
172,brilhante,B-CARACTERISTICA_SENSORIAL_COR,18
173,a,O,18
174,muito,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,18
175,encorpada,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,18
177,No,O,19
178,olfato,O,19
179,percebemos,O,19
180,pouco,B-CARACTERISTICA_SENSORIAL_AROMA,19
181,álcool,I-CARACTERISTICA_SENSORIAL_AROMA,19
183,destacando,O,19
184,aromas,O,19
185,adocicados,B-CARACTERISTICA_SENSORIAL_AROMA,19
186,e,O,19
187,frutados,B-CARACTERISTICA_SENSORIAL_AROMA,19
189,Do,O,20
190,mesmo,O,20
191,modo,O,20
193,apresenta,O,20
194,baixa,B-CARACTERISTICA_SENSORIAL_SABOR,20
195,acidez,I-CARACTERISTICA_SENSORIAL_SABOR,20
196,e,O,20
197,o,O,20
198,sabor,O,20
199,é,O,20
200,suave,B-CARACTERISTICA_SENSORIAL_SABOR,20
202,adocicado,B-CARACTERISTICA_SENSORIAL_SABOR,20
203,e,O,20
204,levemente,B-CARACTERISTICA_SENSORIAL_SABOR,20
205,picante,I-CARACTERISTICA_SENSORIAL_SABOR,20
206,que,O,20
207,lembra,O,20
208,um,O,20
209,pouco,O,20
210,o,O,20
211,gengibre,B-CARACTERISTICA_SENSORIAL_SABOR,20
213,O,O,21
214,retrogosto,O,21
215,é,O,21
216,agradável,O,21
217,e,O,21
218,inusitado,O,21
219,de,O,21
220,uma,O,21
221,madeira,B-CARACTERISTICA_SENSORIAL_SABOR,21
222,que,O,21
223,poucos,O,21
224,estão,O,21
225,acostumados,O,21
226,a,O,21
227,utilizar,O,21
229,Mais,O,22
230,uma,O,22
231,excelente,O,22
232,cachaça,O,22
233,da,O,22
234,Princesa,B-NOME_ORGANIZACAO,22
235,Isabel,I-NOME_ORGANIZACAO,22
236,que,O,22
237,todo,O,22
238,apreciador,O,22
239,deveria,O,22
240,experimentar,O,22
242,De,O,23
243,coloração,O,23
244,amarela,B-CARACTERISTICA_SENSORIAL_COR,23
245,intensa,I-CARACTERISTICA_SENSORIAL_COR,23
247,esta,O,23
248,cachaça,O,23
249,se,O,23
250,apresenta,O,23
251,límpida,B-CARACTERISTICA_SENSORIAL_COR,23
253,brilhante,B-CARACTERISTICA_SENSORIAL_COR,23
254,e,O,23
255,com,O,23
256,ótimo,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,23
257,corpo,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,23
259,No,O,24
260,olfato,O,24
261,destaca,O,24
263,se,O,24
264,cravo,B-CARACTERISTICA_SENSORIAL_AROMA,24
266,canela,B-CARACTERISTICA_SENSORIAL_AROMA,24
268,baunilha,B-CARACTERISTICA_SENSORIAL_AROMA,24
269,e,O,24
270,um,O,24
271,final,O,24
272,de,O,24
273,chocolate,B-CARACTERISTICA_SENSORIAL_AROMA,24
275,Na,O,25
276,boca,O,25
277,encontramos,O,25
278,baunilha,B-CARACTERISTICA_SENSORIAL_SABOR,25
280,coco,B-CARACTERISTICA_SENSORIAL_SABOR,25
282,mel,B-CARACTERISTICA_SENSORIAL_SABOR,25
283,e,O,25
284,rapadura,B-CARACTERISTICA_SENSORIAL_SABOR,25
285,em,O,25
286,perfeita,O,25
287,harmonia,O,25
288,com,O,25
289,seu,O,25
290,corpo,B-CARACTERISTICA_SENSORIAL_SABOR,25
291,alcoólico,I-CARACTERISTICA_SENSORIAL_SABOR,25
292,mais,I-CARACTERISTICA_SENSORIAL_SABOR,25
293,acentuado,I-CARACTERISTICA_SENSORIAL_SABOR,25
295,Mais,O,26
296,uma,O,26
297,Cachaça,O,26
298,de,O,26
299,qualidade,O,26
300,produzida,O,26
301,pela,O,26
302,Princesa,B-NOME_ORGANIZACAO,26
303,Isabel,I-NOME_ORGANIZACAO,26
304,sob,O,26
305,os,O,26
306,cuidados,O,26
307,do,O,26
308,Mestre,O,26
309,Leandro,B-NOME_PESSOA,26
310,Marelli,I-NOME_PESSOA,26
312,um,O,26
313,mago,O,26
314,dos,O,26
315,destilados,O,26
318,Volume,O,27
320,500ml,B-VOLUME,27
321,Graduação,O,28
322,Alcoólica,O,28
324,40%,B-GRADUACAO_ALCOOLICA,28
325,RECIPIENTE,O,29
326,DE,O,29
327,ARMAZENAMENTO,O,29
329,Tipo,O,29
330,Barril,O,29
332,Jaqueira,B-TIPO_MADEIRA,29
333,Tipo,O,30
335,Armazenada,O,30
336,Produtor,O,31
338,Princesa,B-NOME_ORGANIZACAO,31
339,Isabel,I-NOME_ORGANIZACAO,31
340,Local,O,32
341,de,O,32
342,Produção,O,32
344,Linhares,B-NOME_LOCAL,32
346,Espírito,B-NOME_LOCAL,32
347,Santo,I-NOME_LOCAL,32
351,NOME,O,34
352,DA,O,34
353,CACHAÇA,O,34
355,Cachaça,O,34
356,Colombina,B-NOME_BEBIDA,34
357,Chita,I-NOME_BEBIDA,34
358,PREÇO,O,35
360,R$,B-PRECO,35
361,100,I-PRECO,35
362,",",I-PRECO,35
363,0,I-PRECO,35
364,DESCRIÇÃO,O,36
365,DA,O,36
366,CACHAÇA,O,36
368,Colombina,B-NOME_BEBIDA,36
369,Chita,I-NOME_BEBIDA,36
370,700ml,B-VOLUME,36
371,Volume,O,37
373,700ml,B-VOLUME,37
374,Graduação,O,38
375,Alcoólica,O,38
377,40%,B-GRADUACAO_ALCOOLICA,38
378,RECIPIENTE,O,39
379,DE,O,39
380,ARMAZENAMENTO,O,39
382,Tipo,O,39
383,Barril,O,39
385,Jatobá,B-TIPO_MADEIRA,39
386,Tipo,O,40
388,Envelhecida,O,40
389,Produtor,O,41
391,RXM,B-NOME_ORGANIZACAO,41
392,Agropecuária,I-NOME_ORGANIZACAO,41
393,Local,O,42
394,de,O,42
395,Produção,O,42
397,Alvinopolis,B-NOME_LOCAL,42
399,MG,B-NOME_LOCAL,42
403,NOME,O,44
404,DA,O,44
405,CACHAÇA,O,44
407,Cachaça,O,44
408,colombina,B-NOME_BEBIDA,44
409,3,B-TEMPO_ARMAZENAMENTO,44
410,anos,I-TEMPO_ARMAZENAMENTO,44
411,PREÇO,O,45
413,R$,B-PRECO,45
414,52,I-PRECO,45
415,",",I-PRECO,45
416,0,I-PRECO,45
417,DESCRIÇÃO,O,46
418,DA,O,46
419,CACHAÇA,O,46
421,Envelhecida,O,46
422,em,O,46
423,seculares,B-RECIPIENTE_ARMAZENAMENTO,46
424,paróis,I-RECIPIENTE_ARMAZENAMENTO,46
425,de,O,46
426,Jatobá,B-TIPO_MADEIRA,46
428,conserva,O,46
429,o,O,46
430,puro,O,46
431,sabor,O,46
432,da,O,46
433,cana,B-CARACTERISTICA_SENSORIAL_SABOR,46
434,e,O,46
435,uma,O,46
436,sutil,O,46
437,coloração,O,46
438,da,O,46
439,madeira,B-CARACTERISTICA_SENSORIAL_COR,46
441,Premiações,O,47
443,1º,O,47
444,Lugar,O,47
445,na,O,47
446,Exposição,O,47
447,do,O,47
448,Centenário,O,47
450,semana,O,47
451,da,O,47
452,arte,O,47
453,moderna,O,47
455,1922,B-TEMPO,47
456,1º,O,47
457,Lugar,O,47
458,no,O,47
459,concurso,O,47
460,de,O,47
461,cachaça,O,47
462,de,O,47
463,qualidade,O,47
464,Hotel,B-NOME_ORGANIZACAO,47
465,Sofitel,I-NOME_ORGANIZACAO,47
466,Rio,B-NOME_LOCAL,47
467,de,I-NOME_LOCAL,47
468,Janeiro,I-NOME_LOCAL,47
470,2005,B-TEMPO,47
471,E,O,47
472,destaque,O,47
473,entre,O,47
474,as,O,47
475,10,O,47
476,melhores,O,47
477,cachaças,O,47
478,envelhecida,O,47
479,na,O,47
480,Expocachaça,O,47
481,São,B-NOME_LOCAL,47
482,Paulo,I-NOME_LOCAL,47
484,Mercado,O,47
485,Municipal,O,47
487,2011,B-TEMPO,47
489,Volume,O,48
491,700ml,B-VOLUME,48
492,Graduação,O,49
493,Alcoólica,O,49
495,41,B-GRADUACAO_ALCOOLICA,49
496,",",I-GRADUACAO_ALCOOLICA,49
497,5%,I-GRADUACAO_ALCOOLICA,49
498,RECIPIENTE,O,50
499,DE,O,50
500,ARMAZENAMENTO,O,50
502,Tipo,O,50
503,Barril,O,50
505,Paróis,B-RECIPIENTE_ARMAZENAMENTO,50
506,de,O,50
507,Jatobá,B-TIPO_MADEIRA,50
508,Tipo,O,51
510,Armazenada,O,51
511,Produtor,O,52
513,RXM,B-NOME_ORGANIZACAO,52
514,Agropecuaria,I-NOME_ORGANIZACAO,52
515,Local,O,53
516,de,O,53
517,Produção,O,53
519,Alvinopolis,B-NOME_LOCAL,53
521,MG,B-NOME_LOCAL,53
525,NOME,O,55
526,DA,O,55
527,CACHAÇA,O,55
529,Cachaça,O,55
530,Colombina,B-NOME_BEBIDA,55
531,10,B-TEMPO_ARMAZENAMENTO,55
532,anos,I-TEMPO_ARMAZENAMENTO,55
533,PREÇO,O,56
535,R$,B-PRECO,56
536,272,I-PRECO,56
537,",",I-PRECO,56
538,0,I-PRECO,56
539,DESCRIÇÃO,O,57
540,DA,O,57
541,CACHAÇA,O,57
543,Cachaça,O,57
544,Colombina,B-NOME_BEBIDA,57
545,10,B-TEMPO_ARMAZENAMENTO,57
546,anos,I-TEMPO_ARMAZENAMENTO,57
547,700ml,B-VOLUME,57
548,A,O,57
549,colombina,B-NOME_BEBIDA,57
550,teve,O,57
551,sua,O,57
552,qualidade,O,57
553,aferida,O,57
554,como,O,57
555,a,O,57
556,melhor,O,57
557,cachaça,O,57
558,envelhecida,O,57
560,Série,O,58
561,Especial,O,58
562,10,B-TEMPO_ARMAZENAMENTO,58
563,Anos,I-TEMPO_ARMAZENAMENTO,58
565,Envelhecida,O,59
566,em,O,59
567,seculares,B-RECIPIENTE_ARMAZENAMENTO,59
568,paróis,I-RECIPIENTE_ARMAZENAMENTO,59
569,de,O,59
570,Jatobá,B-TIPO_MADEIRA,59
572,conserva,O,59
573,o,O,59
574,puro,O,59
575,sabor,O,59
576,da,O,59
577,cana,B-CARACTERISTICA_SENSORIAL_SABOR,59
578,e,O,59
579,uma,O,59
580,sutil,O,59
581,coloração,O,59
582,da,O,59
583,madeira,B-CARACTERISTICA_SENSORIAL_COR,59
585,Premiações,O,60
587,1º,O,60
588,Lugar,O,60
589,no,O,60
590,concurso,O,60
591,de,O,60
592,cachaça,O,60
593,de,O,60
594,qualidade,O,60
595,Hotel,B-NOME_ORGANIZACAO,60
596,Sofitel,I-NOME_ORGANIZACAO,60
597,Rio,B-NOME_LOCAL,60
598,de,I-NOME_LOCAL,60
599,Janeiro,I-NOME_LOCAL,60
601,2005,B-TEMPO,60
602,Volume,O,61
604,700ml,B-VOLUME,61
605,Graduação,O,62
606,Alcoólica,O,62
608,45%,B-GRADUACAO_ALCOOLICA,62
609,RECIPIENTE,O,63
610,DE,O,63
611,ARMAZENAMENTO,O,63
613,Tipo,O,63
614,Barril,O,63
616,10,B-TEMPO_ARMAZENAMENTO,63
617,anos,I-TEMPO_ARMAZENAMENTO,63
618,Jatobá,B-TIPO_MADEIRA,63
619,Tipo,O,64
621,Armazenada,O,64
622,Produtor,O,65
624,RXM,B-NOME_ORGANIZACAO,65
625,Agropecuaria,I-NOME_ORGANIZACAO,65
626,Local,O,66
627,de,O,66
628,Produção,O,66
630,Alvinopolis,B-NOME_LOCAL,66
632,MG,B-NOME_LOCAL,66
636,NOME,O,68
637,DA,O,68
638,CACHAÇA,O,68
640,Cachaça,O,68
641,Babuxca,B-NOME_BEBIDA,68
642,Tangerina,I-NOME_BEBIDA,68
643,com,I-NOME_BEBIDA,68
644,Pimenta,I-NOME_BEBIDA,68
645,PREÇO,O,69
647,R$,B-PRECO,69
648,52,I-PRECO,69
649,",",I-PRECO,69
650,0,I-PRECO,69
651,DESCRIÇÃO,O,70
652,DA,O,70
653,CACHAÇA,O,70
655,Aperitivo,O,70
656,Babuxca,B-NOME_BEBIDA,70
657,Mel,I-NOME_BEBIDA,70
658,Tangerina,I-NOME_BEBIDA,70
659,e,I-NOME_BEBIDA,70
660,Pimenta,I-NOME_BEBIDA,70
662,A,O,71
663,Babuxca,B-NOME_BEBIDA,71
664,de,I-NOME_BEBIDA,71
665,Tangerina,I-NOME_BEBIDA,71
666,é,O,71
667,diferente,O,71
668,de,O,71
669,tudo,O,71
670,o,O,71
671,que,O,71
672,você,O,71
673,já,O,71
674,provou,O,71
676,Agrada,O,72
677,a,O,72
678,todas,O,72
679,a,O,72
680,tribos,O,72
682,Possui,O,73
683,até,O,73
684,um,O,73
685,cheio,O,73
686,especial,O,73
687,vindo,O,73
688,do,O,73
689,óleo,B-CARACTERISTICA_SENSORIAL_AROMA,73
690,da,I-CARACTERISTICA_SENSORIAL_AROMA,73
691,casca,I-CARACTERISTICA_SENSORIAL_AROMA,73
692,da,I-CARACTERISTICA_SENSORIAL_AROMA,73
693,tangerina,I-CARACTERISTICA_SENSORIAL_AROMA,73
695,Conta,O,74
696,com,O,74
697,a,O,74
698,pimenta,O,74
699,doce,O,74
700,de,O,74
701,moça,O,74
702,na,O,74
703,composição,O,74
705,o,O,74
706,que,O,74
707,adiciona,O,74
708,um,O,74
709,toque,O,74
710,leve,O,74
711,e,O,74
712,delicado,B-CARACTERISTICA_SENSORIAL_SABOR,74
713,mas,O,74
714,não,B-CARACTERISTICA_SENSORIAL_SABOR,74
715,picante,I-CARACTERISTICA_SENSORIAL_SABOR,74
717,Para,O,75
718,completar,O,75
719,a,O,75
720,composição,O,75
722,conta,O,75
723,com,O,75
724,uma,O,75
725,cachaça,O,75
726,com,O,75
727,um,O,75
728,rígido,O,75
729,controle,O,75
730,de,O,75
731,qualidade,O,75
733,O,O,76
734,mel,O,76
735,é,O,76
736,TOTALMENTE,O,76
737,orgânico,O,76
738,e,O,76
739,de,O,76
740,alta,O,76
741,qualidade,O,76
743,Produto,O,77
744,100%,O,77
745,natural,O,77
746,e,O,77
747,sem,O,77
748,nenhum,O,77
749,conservante,O,77
750,ORIGEM,O,77
751,DO,O,77
752,NOME,O,77
753,Babu,O,77
754,é,O,77
755,o,O,77
756,apelido,O,77
757,do,O,77
758,criador,O,77
759,da,O,77
760,nossa,O,77
761,fórmula,O,77
763,Assim,O,78
765,resolvemos,O,78
766,dar,O,78
767,o,O,78
768,mesmo,O,78
769,nome,O,78
770,para,O,78
771,o,O,78
772,nosso,O,78
773,mascote,O,78
775,esse,O,78
776,macaquinho,O,78
777,simpático,O,78
779,e,O,78
780,homenageá,O,78
782,lo,O,78
783,com,O,78
784,o,O,78
785,nome,O,78
786,da,O,78
787,marca,O,78
788,de,O,78
789,uma,O,78
790,forma,O,78
791,divertida,O,78
793,Babuxca,B-NOME_ORGANIZACAO,78
795,Volume,O,79
797,700ml,B-VOLUME,79
798,Graduação,O,80
799,Alcoólica,O,80
801,18,B-GRADUACAO_ALCOOLICA,80
802,",",I-GRADUACAO_ALCOOLICA,80
803,5%,I-GRADUACAO_ALCOOLICA,80
804,RECIPIENTE,O,81
805,DE,O,81
806,ARMAZENAMENTO,O,81
808,Tipo,O,81
809,Barril,O,81
811,Não,O,81
812,Há,O,81
813,Tipo,O,82
815,Bebida,O,82
816,Mista,O,82
817,Produtor,O,83
819,BABUXCA,B-NOME_ORGANIZACAO,83
820,Local,O,84
821,de,O,84
822,Produção,O,84
824,Sorocaba,B-NOME_LOCAL,84
826,São,B-NOME_LOCAL,84
827,Paulo,I-NOME_LOCAL,84
831,NOME,O,86
832,DA,O,86
833,CACHAÇA,O,86
835,Cachaça,O,86
836,Babuxca,B-NOME_BEBIDA,86
837,Frutas,I-NOME_BEBIDA,86
838,Vermelhas,I-NOME_BEBIDA,86
839,PREÇO,O,87
841,R$,B-PRECO,87
842,52,I-PRECO,87
843,",",I-PRECO,87
844,0,I-PRECO,87
845,DESCRIÇÃO,O,88
846,DA,O,88
847,CACHAÇA,O,88
849,Este,O,88
850,sabor,O,88
851,é,O,88
852,o,O,88
853,xodó,O,88
854,daqueles,O,88
855,que,O,88
856,flertam,O,88
857,com,O,88
858,algo,O,88
859,mais,O,88
860,doce,B-CARACTERISTICA_SENSORIAL_SABOR,88
862,Apesar,O,89
863,disso,O,89
865,seu,O,89
866,gosto,O,89
867,final,O,89
868,passa,O,89
869,uma,O,89
870,sensação,O,89
871,distinta,O,89
872,do,O,89
873,comum,O,89
875,uma,O,89
876,vez,O,89
877,que,O,89
878,todos,O,89
879,os,O,89
880,ingredientes,O,89
881,são,O,89
882,naturais,O,89
883,e,O,89
884,sem,O,89
885,conservantes,O,89
887,Por,O,90
888,conta,O,90
889,disso,O,90
891,essa,O,90
892,é,O,90
893,a,O,90
894,Babuxca,B-NOME_BEBIDA,90
895,que,O,90
896,mais,O,90
897,muda,O,90
898,de,O,90
899,cor,O,90
900,ao,O,90
901,longo,O,90
902,do,O,90
903,tempo,O,90
905,suavemente,O,90
906,alterando,O,90
907,entre,O,90
908,tons,O,90
909,de,O,90
910,vermelho,O,90
912,da,O,90
913,cor,O,90
914,do,O,90
915,morango,B-CARACTERISTICA_SENSORIAL_COR,90
916,para,O,90
917,a,O,90
918,amora,B-CARACTERISTICA_SENSORIAL_COR,90
920,Mas,O,91
921,não,O,91
922,se,O,91
923,preocupe,O,91
925,esse,O,91
926,é,O,91
927,um,O,91
928,processo,O,91
929,natural,O,91
930,de,O,91
931,alimentos,O,91
932,sem,O,91
933,corante,O,91
935,Babuxca,B-NOME_BEBIDA,92
936,é,O,92
937,uma,O,92
938,bebida,O,92
939,alcoólica,O,92
940,mista,O,92
941,feita,O,92
942,com,O,92
943,ingredientes,O,92
944,100%,O,92
945,naturais,O,92
947,ORIGEM,O,93
948,DO,O,93
949,NOME,O,93
950,Babu,O,93
951,é,O,93
952,o,O,93
953,apelido,O,93
954,do,O,93
955,criador,O,93
956,da,O,93
957,nossa,O,93
958,fórmula,O,93
960,Assim,O,94
962,resolvemos,O,94
963,dar,O,94
964,o,O,94
965,mesmo,O,94
966,nome,O,94
967,para,O,94
968,o,O,94
969,nosso,O,94
970,mascote,O,94
972,esse,O,94
973,macaquinho,O,94
974,simpático,O,94
976,e,O,94
977,homenageá,O,94
979,lo,O,94
980,com,O,94
981,o,O,94
982,nome,O,94
983,da,O,94
984,marca,O,94
985,de,O,94
986,uma,O,94
987,forma,O,94
988,divertida,O,94
990,Babuxca,B-NOME_ORGANIZACAO,94
992,Volume,O,95
994,700ml,B-VOLUME,95
995,Graduação,O,96
996,Alcoólica,O,96
998,18,B-GRADUACAO_ALCOOLICA,96
999,",",I-GRADUACAO_ALCOOLICA,96
1000,5%,I-GRADUACAO_ALCOOLICA,96
1001,RECIPIENTE,O,97
1002,DE,O,97
1003,ARMAZENAMENTO,O,97
1005,Tipo,O,97
1006,Barril,O,97
1008,Não,O,97
1009,Há,O,97
1010,Tipo,O,98
1012,Bebida,O,98
1013,mista,O,98
1014,Produtor,O,99
1016,BABUXCA,B-NOME_ORGANIZACAO,99
1017,Local,O,100
1018,de,O,100
1019,Produção,O,100
1021,Sorocaba,B-NOME_LOCAL,100
1023,SP,B-NOME_LOCAL,100
1027,NOME,O,102
1028,DA,O,102
1029,CACHAÇA,O,102
1031,CACHAÇA,O,102
1032,SERRA,B-NOME_BEBIDA,102
1033,MORENA,I-NOME_BEBIDA,102
1034,OURO,B-CLASSIFICACAO_BEBIDA,102
1035,PREÇO,O,103
1037,R$,B-PRECO,103
1038,56,I-PRECO,103
1039,",",I-PRECO,103
1040,0,I-PRECO,103
1041,DESCRIÇÃO,O,104
1042,DA,O,104
1043,CACHAÇA,O,104
1045,Serra,B-NOME_BEBIDA,104
1046,Morena,I-NOME_BEBIDA,104
1047,Ouro,B-CLASSIFICACAO_BEBIDA,104
1048,670ml,B-VOLUME,104
1049,Volume,O,105
1051,670ml,B-VOLUME,105
1052,Graduação,O,106
1053,Alcoólica,O,106
1055,40%,B-GRADUACAO_ALCOOLICA,106
1056,RECIPIENTE,O,107
1057,DE,O,107
1058,ARMAZENAMENTO,O,107
1060,Tipo,O,107
1061,Barril,O,107
1063,Carvalho,B-TIPO_MADEIRA,107
1064,e,O,107
1065,Jequitibá,B-TIPO_MADEIRA,107
1066,Tipo,O,108
1068,Ouro,B-CLASSIFICACAO_BEBIDA,108
1069,Produtor,O,109
1071,Serra,B-NOME_ORGANIZACAO,109
1072,Morena,I-NOME_ORGANIZACAO,109
1073,Local,O,110
1074,de,O,110
1075,Produção,O,110
1077,Belo,B-NOME_LOCAL,110
1078,Vale,I-NOME_LOCAL,110
1080,Minas,B-NOME_LOCAL,110
1081,Gerais,I-NOME_LOCAL,110
1085,NOME,O,112
1086,DA,O,112
1087,CACHAÇA,O,112
1089,Cachaça,O,112
1090,da,O,112
1091,Tulha,B-NOME_BEBIDA,112
1092,Prata,B-CLASSIFICACAO_BEBIDA,112
1093,PREÇO,O,113
1095,R$,B-PRECO,113
1096,52,I-PRECO,113
1097,",",I-PRECO,113
1098,0,I-PRECO,113
1099,DESCRIÇÃO,O,114
1100,DA,O,114
1101,CACHAÇA,O,114
1103,Cachaça,O,114
1104,da,O,114
1105,Tulha,B-NOME_BEBIDA,114
1106,Prata,B-CLASSIFICACAO_BEBIDA,114
1107,750ml,B-VOLUME,114
1108,Volume,O,115
1110,750ml,B-VOLUME,115
1111,Graduação,O,116
1112,Alcoólica,O,116
1114,40%,B-GRADUACAO_ALCOOLICA,116
1115,RECIPIENTE,O,117
1116,DE,O,117
1117,ARMAZENAMENTO,O,117
1119,Tipo,O,117
1120,Barril,O,117
1122,Armazenado,O,117
1123,em,O,117
1124,Jequitibá,B-TIPO_MADEIRA,117
1125,Tipo,O,118
1127,Prata,B-CLASSIFICACAO_BEBIDA,118
1128,Produtor,O,119
1130,Tulha,B-NOME_ORGANIZACAO,119
1131,Local,O,120
1132,de,O,120
1133,Produção,O,120
1135,Mococa,B-NOME_LOCAL,120
1137,São,B-NOME_LOCAL,120
1138,Paulo,I-NOME_LOCAL,120
1142,NOME,O,122
1143,DA,O,122
1144,CACHAÇA,O,122
1146,CACHAÇA,O,122
1147,GOGÓ,B-NOME_BEBIDA,122
1148,DA,I-NOME_BEBIDA,122
1149,EMA,I-NOME_BEBIDA,122
1150,SUBLIME,I-NOME_BEBIDA,122
1151,PREÇO,O,123
1153,R$,B-PRECO,123
1154,230,I-PRECO,123
1155,",",I-PRECO,123
1156,0,I-PRECO,123
1157,DESCRIÇÃO,O,124
1158,DA,O,124
1159,CACHAÇA,O,124
1161,CACHAÇA,O,124
1162,GOGÓ,B-NOME_BEBIDA,124
1163,DA,I-NOME_BEBIDA,124
1164,EMA,I-NOME_BEBIDA,124
1165,SUBLIME,I-NOME_BEBIDA,124
1166,ENVELHECIDA,O,124
1167,10,B-TEMPO_ARMAZENAMENTO,124
1168,ANOS,I-TEMPO_ARMAZENAMENTO,124
1169,NO,O,124
1170,BÁLSAMO,B-TIPO_MADEIRA,124
1171,E,O,124
1172,JEQUITIBÁ,B-TIPO_MADEIRA,124
1173,Volume,O,125
1175,750ml,B-VOLUME,125
1176,Graduação,O,126
1177,Alcoólica,O,126
1179,40%,B-GRADUACAO_ALCOOLICA,126
1180,RECIPIENTE,O,127
1181,DE,O,127
1182,ARMAZENAMENTO,O,127
1184,Tipo,O,127
1185,Barril,O,127
1187,10,B-TEMPO_ARMAZENAMENTO,127
1188,anos,I-TEMPO_ARMAZENAMENTO,127
1189,Bálsamo,B-TIPO_MADEIRA,127
1190,e,O,127
1191,Jequitibá,B-TIPO_MADEIRA,127
1192,Tipo,O,128
1194,Envelhecida,O,128
1195,Produtor,O,129
1197,Gogó,B-NOME_ORGANIZACAO,129
1198,da,I-NOME_ORGANIZACAO,129
1199,Ema,I-NOME_ORGANIZACAO,129
1200,Local,O,130
1201,de,O,130
1202,Produção,O,130
1204,São,B-NOME_LOCAL,130
1205,Sebastião,I-NOME_LOCAL,130
1207,Alagoas,B-NOME_LOCAL,130
1211,NOME,O,132
1212,DA,O,132
1213,CACHAÇA,O,132
1215,Cachaça,O,132
1216,Maribondo,B-NOME_BEBIDA,132
